,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.33,39.99,86.0,71.0,7.0,NZ,1600190339.0
2,bambous virieux,-20.34,57.76,66.2,77.0,75.0,19.46,MU,1600190601.0
3,lebu,-37.62,-73.65,54.25,83.0,97.0,10.65,CL,1600190438.0
4,yabelo,4.88,38.08,69.22,49.0,67.0,12.95,ET,1600190601.0
6,butaritari,3.07,172.79,83.41,75.0,36.0,20.65,KI,1600190439.0
7,puerto ayacucho,5.66,-67.62,87.8,58.0,20.0,2.46,VE,1600190439.0
8,port alfred,-33.59,26.89,59.38,70.0,100.0,15.9,ZA,1600190602.0
9,tasiilaq,65.61,-37.64,35.6,94.0,90.0,25.28,GL,1600190602.0
10,ponta do sol,32.67,-17.1,77.0,65.0,20.0,4.7,CV,1600190473.0
11,albany,42.6,-73.97,62.01,47.0,0.0,3.4,AU,1600190602.0
12,vaini,-21.2,-175.2,71.6,83.0,40.0,5.82,TO,1600190440.0
13,ushuaia,-54.8,-68.3,37.4,74.0,75.0,18.34,AR,1600190493.0
14,nishihara,26.18,127.76,80.6,88.0,20.0,5.82,JP,1600190440.0
15,rikitea,-23.12,-134.97,73.24,76.0,7.0,6.64,PF,1600190338.0
16,senanga,-16.12,23.27,79.92,15.0,0.0,5.06,ZM,1600190603.0
17,saskylakh,71.92,114.08,44.82,81.0,42.0,5.53,RU,1600190603.0
18,saldanha,-33.01,17.94,59.0,47.0,0.0,9.17,ZA,1600190603.0
19,yinchuan,38.47,106.27,61.05,29.0,0.0,7.4,CN,1600190441.0
20,kyaikkami,16.08,97.57,81.3,82.0,96.0,6.22,MM,1600190441.0
21,kapaa,22.08,-159.32,78.8,74.0,1.0,9.17,US,1600190441.0
22,thompson,55.74,-97.86,46.4,75.0,75.0,8.05,CA,1600190461.0
23,miandrivazo,-19.52,45.47,79.92,60.0,31.0,10.92,MG,1600190604.0
24,miquelon,47.1,-56.38,59.0,58.0,90.0,17.22,PM,1600190442.0
